代码,名称,日期,open,high,low,close,成交额(百万),成交量(股)
399001.SZ,深证成指,2010-02-26,12125.51,12527.02,11714.16,12436.66,1000419.44,74376796800
399001.SZ,深证成指,2010-03-31,12480.81,12720.36,11835.62,12494.35,1880272.83,1.30255E+11
399001.SZ,深证成指,2010-04-30,12512.41,12849.71,10974.15,11162.54,2312182.58,1.49546E+11
399001.SZ,深证成指,2010-05-31,10959.16,11139.16,9627.42,10204.17,1418185.8,1.01898E+11
399001.SZ,深证成指,2010-06-30,10123.67,10407.38,9335.57,9386.94,1232560.1,89491072600
399001.SZ,深证成指,2010-07-30,9376.08,10899.43,8945.2,10785.35,1512202.22,1.20608E+11
399001.SZ,深证成指,2010-08-31,10789.07,11424.08,10613.28,11338.71,2256788.45,1.62032E+11
399001.SZ,深证成指,2010-09-30,11369.39,11759.01,11060.66,11468.54,2059909.31,1.39281E+11
399001.SZ,深证成指,2010-10-29,11594.92,13863.98,11578.12,13367.24,2591462.19,1.69823E+11
399001.SZ,深证成指,2010-11-30,13385.25,13936.88,11849.9,12336.29,3653405.08,2.1672E+11
399001.SZ,深证成指,2010-12-31,12301.24,12987.71,11963.72,12458.55,2294641.36,1.30129E+11
399001.SZ,深证成指,2011-01-31,12578.45,12790.93,11377.34,11994.68,1437136.87,85333114800
399001.SZ,深证成指,2011-02-28,12044.41,12936.74,11764.23,12902.44,1587653.45,93485415600
399001.SZ,深证成指,2011-03-31,12911.07,13233.02,12447.71,12562.9,2618383.78,1.61697E+11
399001.SZ,深证成指,2011-04-29,12559.78,13142.43,12138.85,12312.99,1852779.87,1.28457E+11
399001.SZ,深证成指,2011-05-31,12314.7,12423.46,11405.06,11665.14,1353362.4,1.01256E+11
399001.SZ,深证成指,2011-06-30,11648.86,12157.56,11288.62,12110.93,1275956.49,97683005200
399001.SZ,深证成指,2011-07-29,12148.97,12548.98,11885.9,11990.43,1903133.25,1.30436E+11
399001.SZ,深证成指,2011-08-31,11975.28,12074.95,10926.47,11397.48,1771416.17,1.20924E+11
399001.SZ,深证成指,2011-09-30,11425.11,11491.35,10224.72,10292.33,1014632.49,76561992000
399001.SZ,深证成指,2011-10-31,10315.96,10637.1,9653.51,10480.91,946524.87,75323797800
399001.SZ,深证成指,2011-11-30,10389.02,10791.39,9626.76,9693.39,1611897.62,1.19659E+11
399001.SZ,深证成指,2011-12-30,9976.52,10102.35,8555.12,8918.82,965078.78,80328761000
399001.SZ,深证成指,2012-01-31,8980.76,9503.37,8486.58,9303.65,752940.99,69027714400
399001.SZ,深证成指,2012-02-29,9277.79,10333.92,9173.07,10054.85,1585544.32,1.41252E+11
399001.SZ,深证成指,2012-03-30,10011.12,10529,9352.17,9410.26,1822953.97,1.47864E+11
