代码	名称	日期	open	high	low	close	成交额(百万)	成交量(股)	macd	rsi_6	kdj	cci	sma10	ema10	
399300.SZ	沪深300	2014/1/16	2209.45	2227.26	2201.56	2211.84	49842.78	5229890400	-43.55817918	33.61426125	21.46188202	-66.00636792	2226.371	2230.276264	1
399300.SZ	沪深300	2014/1/17	2203.82	2205.97	2175.88	2178.49	46268.16	5027315600	-45.05031777	22.49789278	15.31138155	-100.5216618	2215.142	2220.86058	-1
399300.SZ	沪深300	2014/1/20	2173.65	2182.46	2156.46	2165.99	39157.23	4056015200	-46.70312929	19.5848023	13.20105422	-121.0573389	2207.877	2210.884111	-1
399300.SZ	沪深300	2014/1/21	2168.42	2197.92	2168.42	2187.41	38590.99	4030624800	-45.75711974	36.49383362	18.87262185	-82.45723852	2202.818	2206.616091	1
399300.SZ	沪深300	2014/1/22	2190.43	2244.13	2187.53	2243.8	64803.36	7064137600	-39.99614793	61.84142217	45.78961072	18.26672579	2203.007	2213.376801	1
399300.SZ	沪深300	2014/1/23	2242.25	2248.92	2228.06	2231.89	55726.42	5634595200	-35.97685494	56.16021738	57.72014858	73.42471913	2203.974	2216.742838	-1
399300.SZ	沪深300	2014/1/24	2225.76	2257.36	2222.89	2245.68	59563.44	6116767200	-31.31778659	61.12261715	67.95482651	98.10276841	2208.057	2222.00414	1
399300.SZ	沪深300	2014/1/27	2233.01	2233.23	2211.8	2215.92	63503.99	7034424800	-29.68463861	47.2668661	64.94642877	28.72513773	2210.281	2220.897933	-1
399300.SZ	沪深300	2014/1/28	2220.78	2233.26	2205.97	2219.86	49408.76	5326912800	-27.75251824	49.09998478	64.24244905	36.31095352	2210.982	2220.709218	1
399300.SZ	沪深300	2014/1/29	2225.71	2233.06	2219.93	2227.78	48788.68	5022271600	-25.29068583	53.03788623	66.38958116	69.3518109	2212.866	2221.994814	1
399300.SZ	沪深300	2014/1/30	2223.16	2223.16	2200.22	2202.45	43475.96	4363230400	-25.09431359	40.89529164	59.45298143	-5.846272647	2211.927	2218.441212	-1
399300.SZ	沪深300	2014/2/7	2187.34	2212.5	2177.12	2212.48	49597.11	5045931600	-23.85437165	46.69420599	56.14832597	-38.74494563	2215.326	2217.357355	1
399300.SZ	沪深300	2014/2/10	2221.54	2270.19	2221.54	2267.53	81103.25	8306571200	-18.21960949	67.61874586	69.81286271	144.2289404	2225.48	2226.479654	1
399300.SZ	沪深300	2014/2/11	2267.74	2296.52	2262.6	2285.56	92688.97	9922983200	-12.15898831	71.9467212	76.81549865	191.5736732	2235.295	2237.221535	1
399300.SZ	沪深300	2014/2/12	2286.19	2294.32	2276.44	2291.25	73487.38	7659216000	-6.818171286	73.29825983	83.07242065	161.7226753	2240.04	2247.044892	1
